***********************************
You have loaded a Miniforge3 module
***********************************
---------------------------------------------------------------------------------------------------
NOTE: NSC strongly advices against placing 'mamba activate' (or 'conda
activate', with or without
      arguments) or conda initialize commands in your shell initialization
files, (e.g. '.bashrc' or '.bash_profile') since
      this severely alters the environment for running software in ways that
cause unpredictable
      issues that can be difficult to diagnose.
---------------------------------------------------------------------------------------------------

testar
T1 files: 71, T2 files: 71, T2 LR files: 71
71
Train patches: 49, Val patches: 11, Test patches: 11
Number of training batches: 3675
Network initialized
Number of epochs: 500
Using: cuda (SLURM GPUs: 1)
Starting training...
Epoch 451/500, Loss: 0.0002
Epoch 452/500, Loss: 0.0002
Epoch 453/500, Loss: 0.0002
Epoch 454/500, Loss: 0.0002
Epoch 455/500, Loss: 0.0002
Epoch 456/500, Loss: 0.0002
Epoch 457/500, Loss: 0.0002
Epoch 458/500, Loss: 0.0002
Epoch 459/500, Loss: 0.0002
Epoch 460/500, Loss: 0.0002
Epoch 461/500, Loss: 0.0002
Epoch 462/500, Loss: 0.0002
Epoch 463/500, Loss: 0.0002
Epoch 464/500, Loss: 0.0002
Epoch 465/500, Loss: 0.0002
Epoch 466/500, Loss: 0.0002
Epoch 467/500, Loss: 0.0002
Epoch 468/500, Loss: 0.0002
Epoch 469/500, Loss: 0.0002
Epoch 470/500, Loss: 0.0002
Epoch 471/500, Loss: 0.0002
Epoch 472/500, Loss: 0.0002
Epoch 473/500, Loss: 0.0002
Epoch 474/500, Loss: 0.0002
Epoch 475/500, Loss: 0.0002
Epoch 476/500, Loss: 0.0002
Epoch 477/500, Loss: 0.0002
Epoch 478/500, Loss: 0.0002
Epoch 479/500, Loss: 0.0002
Epoch 480/500, Loss: 0.0002
Epoch 481/500, Loss: 0.0002
Epoch 482/500, Loss: 0.0002
Epoch 483/500, Loss: 0.0002
Epoch 484/500, Loss: 0.0002
Epoch 485/500, Loss: 0.0002
Epoch 486/500, Loss: 0.0002
Epoch 487/500, Loss: 0.0002
Epoch 488/500, Loss: 0.0002
Epoch 489/500, Loss: 0.0002
Epoch 490/500, Loss: 0.0002
Epoch 491/500, Loss: 0.0002
Epoch 492/500, Loss: 0.0002
Epoch 493/500, Loss: 0.0002
Epoch 494/500, Loss: 0.0002
Epoch 495/500, Loss: 0.0002
Epoch 496/500, Loss: 0.0002
Epoch 497/500, Loss: 0.0002
Epoch 498/500, Loss: 0.0002
Epoch 499/500, Loss: 0.0002
Epoch 500/500, Loss: 0.0002
Processed validation image 1/11
Processed validation image 2/11
Processed validation image 3/11
Processed validation image 4/11
Processed validation image 5/11
Processed validation image 6/11
Processed validation image 7/11
Processed validation image 8/11
Processed validation image 9/11
Processed validation image 10/11
Processed validation image 11/11
